Thread_No,Thread_Name,R,G,B
16362,Cream White,251,91,9
16367,Cream,249,251,246
16368,Buttermilk,240,161,135
16371,Soft Yellow,252,250,252
16379,Light Yellow,245,231,226
16380,Buttercup,254,90,8
19033,Spring Yellow,251,199,171
16376,Citrus Yellow,247,249,234
16377,Acid Yellow,245,164,131
16340,Sun Flower,255,251,245
16346,Old Gold,236,169,117
16347,Inca Gold,253,248,249
16348,Asia Gold,250,247,217
13271,Burnt Gold,253,100,21
13274,Tobacco,249,253,250
18746,Jasmine,248,191,151
16332,Jersey Cream,236,141,82
16333,Spiced Cream,190,195,183
16335,Pale Apricot,249,105,12
16378,Washed Gold,255,251,245
16342,Nectar,238,190,167
16343,Golden Yellow,254,253,247
16349,Amber Yellow,238,238,235
16345,Washed Yellow,201,201,199
15704,Golden Sand,225,226,221
16353,Honey,153,152,147
15512,Savannah Gold,247,153,94
16359,Tobacco Gold,140,140,135
13278,Spanish Brown,176,176,170
13282,Yucca Tan,249,249,247
16363,Pearl,242,241,239
16366,Magnolia,165,163,160
16331,Almond,187,186,183
16334,Havana Cream,148,148,143
15956,French Apricot,135,135,128
17840,Africa Gold,253,253,247
16339,Palm Honey,145,145,141
16344,Amber Gold,164,163,157
16356,Mango Gold,221,220,214
16357,Inadian Gold,194,194,186
16324,Golden Russet,174,173,166
13284,Pale Tea,251,154,107
16328,Mexican Tan,187,187,178
16286,Brown,151,151,142
16426,Redwood,201,200,192
16303,Swiss Cream,245,245,236
16302,Frosted Beige,152,152,143
16393,Soft Latte,163,163,156
14255,Washed Beige,174,175,170
13231,Apricot Jam,198,201,195
16323,Mace,246,147,97
15883,Pale Nutmeg,143,144,138
18766,Nutmeg,131,132,125
16326,Spiced Copper,252,253,246
17657,Copper,114,115,108
16329,Maple Tan,210,211,207
16142,Mandarin,230,231,228
15833,Hot Spice,154,155,147
13289,Tamarind,145,146,138
13291,Burnished Bronze,141,141,134
15404,Winter Jasmine,176,177,171
17602,Apricot Cream,202,204,195
16337,Orange Sorbet,174,174,170
13222,Pale Orange,201,202,196
14507,Tropica Sunset,134,135,129
14409,Soft Saffron,203,204,198
16135,Spanish Orange,146,147,140
16137,Brilliant Orange,250,164,115
16139,Vivid Orange,154,155,148
17701,Orange,173,173,168
16140,Mexican Orange,172,172,167
16067,Active Orange,220,220,215
16066,Marmalade,159,160,154
13294,Ferrous Orange,142,143,134
13296,Burnt Copper,175,176,172
16307,Light Peach,213,214,205
16310,Pale Peach,253,164,119
16312,Bellini,229,229,227
16319,Taupe,168,170,159
16321,Russian Tan,151,152,141
16318,Mink,139,140,131
13245,Radiant Tan,145,146,140
13251,Tropical Tan,177,177,175
17673,Tango Tan,252,253,245
18787,Burning Ginger,166,167,158
14721,Winter Tan,176,176,172
16143,Hot Spice,194,194,188
13299,Sepia Tan,150,151,144
13201,Auburn,204,205,196
13204,Hot Tan,191,192,186
16361,Fine Marble,250,152,109
13213,Cashmere,252,253,249
17736,Coral Bloom,199,200,192
13226,Coral Blush,172,172,166
15542,Salmon Pink,159,160,151
13247,Salamander,131,132,126
15860,Lively Orange,189,190,184
16141,Sunset,233,234,228
15586,Seville,132,133,126
16068,Flame,184,184,180
16069,Luminous Orange,155,156,149
13206,Burnt Red,157,158,150
16120,Adzuki,240,239,228
13208,Lacquer Red,240,240,228
13209,Old Wine,240,240,230
16096,Tender Pink,242,241,229
16099,Angel Pink,241,238,228
16100,Baby Pink,242,242,232
16102,Coral Pink,241,239,229
13031,Active Pink,248,240,216
16316,Aurora Rose,248,239,215
17813,Dusty Pink,244,237,217
15398,Ume,236,237,218
16119,Sabre Pink,241,243,218
14348,African Brick,244,246,222
16117,Kir Royal,239,241,220
16144,Antique Rose,241,244,217
14440,Autumn Berry,243,244,215
13092,Japanese Maple,245,245,224
16150,Moroccan,237,238,216
16092,Dream Pink,238,240,217
16103,Blush Pink,246,244,224
16104,Candy Pink,242,239,209
16107,Sweet Pink,247,242,215
16108,Lively Pink,246,242,214
15578,Falmingo Pink,248,243,209
15786,Flame,244,244,209
16076,Juicy Red,247,243,212
16072,Hot Red,246,242,212
16073,Tomato Red,250,247,215
14734,Sharp Red,245,240,208
19019,Magnetic Red,248,244,216
17825,Poison Red,246,242,210
13095,Kiliko Red,248,244,212
13007,Bravo Red,248,245,213
18853,Pale Pink,243,242,214
18931,Pink,248,244,211
13024,Sensational Pink,248,247,223
13033,Sherbert Pink,245,240,207
13035,Raspberry Sorbet,249,243,210
14512,Corrida,244,241,207
17797,Apple Red,243,239,209
16075,Temptation,247,242,209
16080,China Red,244,241,215
19391,Gamet,244,242,220
13073,Indian Red,239,239,224
16083,Westerly Red,243,243,235
16086,Raspberry,232,230,222
16052,Deep Ruby,244,243,235
16121,Misty Pink,234,234,225
13013,Icicle Pink,238,238,228
13027,Rococo Rose,239,239,229
13038,India Pink,240,240,229
14434,Summer Rose,242,242,232
13043,Vintage Pink,247,245,235
13048,Toledo Pink,240,238,227
16146,Cherry Red,242,241,230
16088,Beaujolais,243,241,231
19025,New Burgundy,243,241,231
16054,Velvet Red,244,242,230
14782,Vintage Red,244,242,233
16055,Tawny Red,244,242,232
13082,Shiraz,239,237,228
16435,Port Wine,234,233,222
16122,Sand Pink,244,242,232
13112,Botanical Rose,245,243,232
13121,Saber Pink,244,243,231
13131,Cosos Pink,244,243,231
16112,Swiss Pink,237,237,227
13142,Parakeet Pink,241,239,228
18986,Deep Pink,239,240,229
17867,Diva Rose,244,242,231
14414,Silk Burgundy,242,241,229
14415,Dry Rose,241,241,231
14501,Light Plum,236,237,229
19203,Plum,235,234,226
16057,Damson Jam,242,242,231
16058,Damson,240,238,230
16440,Sloe,243,243,237
16009,Bleached Pink,240,238,230
15863,Dolly Pink,243,243,233
15805,Aurora Pink,242,242,231
17702,Clematis Pink,240,238,226
16111,Cosmic Pink,242,242,234
13146,Prestige Pink,238,239,222
16037,Sister Rose,240,241,222
15531,Raspberruy Syrup,239,240,223
16049,Venetian Red,241,243,219
19044,Sunset Crimson,241,243,219
16085,Pst Red,239,242,214
16051,Exotic Red,240,241,215
13172,Clove Red,244,244,214
13182,Inca,243,243,207
16438,Sepia Red,244,244,211
16007,Pale Pink,243,245,222
13115,Creamy Pink,245,241,211
16013,Resh Pink,244,240,210
16014,Dusry Pink,243,240,208
13135,Cheerful Pink,246,243,208
16024,Hot Pink,247,243,214
16025,Shady Rose,244,241,210
16026,Vintage Pink,246,244,211
16028,Fancy Pink,247,244,211
16029,Vivid Pink,245,242,210
14522,Upstick Pink,244,241,207
16041,Zanzibar Red,248,244,212
16046,Sparkling Magenta,247,242,208
16053,Lush Crimson,243,188,171
14376,Deep Red,190,191,190
16012,Soft Pink,216,216,213
16017,Classic Pink,249,250,247
16018,Pale Tulip,157,160,151
16019,Eternal Pink,193,194,186
16021,Lovely Pink,250,147,102
16027,Cherry Blossom,170,172,169
16128,Wisteria Pink,250,251,249
16155,Rich Pink,225,224,221
16156,Wistera Violet,170,169,166
16131,Wisteria,133,127,121
13871,Calm Crimson,151,152,148
14436,Hot Crimson,252,252,249
16056,Elegant Burgundy,142,142,141
13881,Jazzy Burgundy,245,180,139
18060,Burgundy,161,160,155
16011,Silk Pink,156,155,150
16016,Soft Rose,166,166,161
13822,Pink Dream,244,242,231
16153,Petal Pink,145,146,139
13833,Irish Rose,128,129,123
17747,Festival Pink,160,161,152
16043,Magenta,168,170,158
16157,Wild Magenta,174,175,169
16161,Fruity Magenta,243,241,231
19211,Fresh Magenta,239,239,230
17750,Sloe Jam,241,246,238
13873,Black Currant,221,223,216
16178,Mangosteen,252,252,247
16059,Dry Red,253,253,249
13801,Autumn Berry,149,152,146
16162,Soft Viloet,189,192,181
16151,Jazzy Viloet,171,173,164
16164,Cyclamen Violet,165,166,157
16211,Shrinking Violet,135,136,128
16167,Light Violet,180,180,170
17620,Tradtional Violet,251,251,241
13851,Hydrangea Viloet,137,139,128
14431,Sunset Mauve,133,134,125
16176,Dark Magenta,224,225,216
16175,Hot Magenta,164,166,154
17624,Hot Grape,254,254,250
16180,Berry Violet,242,240,218
13884,Dark Plum,252,192,160
16450,Midnight Plum,224,224,220
17830,CHERUB LILAC,171,174,168
17630,PALE VIOLET,226,230,221
19245,SOFT LILAC,249,252,245
19244,DEEP LILAC,250,251,245
16169,COSOMS VIOLET,211,212,202
15519,IRRCHID VIOLET,193,194,187
16198,WINTER VIOLET,255,255,252
19858,SWEET VIOLET,245,245,226
13761,SLEEP VIOLET,154,155,150
14482,FLAME VIOLET,193,193,188
14521,AMETHYST VIOLET,155,156,149
13772,FRESH PURPLE,142,142,137
13781,COSIC PURPLE,178,178,173
16210,KILIKO PRPLE,245,152,104
13802,FORMALPURPLE,192,193,189
16182,PALE LAVENDER,163,166,156
16183,SATIN MAUVE,235,237,229
18983,MISTY LAVENDER,246,244,211
16185,BLUE PEARL,246,243,212
16186,DEEP LAVENDER,244,241,205
16187,ALPINE VIOLET,246,243,207
15857,BRILLIANT VIOLET,244,241,215
13752,FROSTED PURPLE,251,254,245
